Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,694093,-,-,-,31.53,-97.14,-6,143,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity,Wind Speed,Dew Point
2012,1,1,0,30,9.9,0,70.81,4.800000000000001,4.800000000000001
2012,1,1,1,30,8.4,0,60.75,5.4,1.3
2012,1,1,2,30,6.9,0,62.5,4.9,0.2
2012,1,1,3,30,5.800000000000001,0,67.57000000000001,4.1000000000000005,0.30000000000000004
2012,1,1,4,30,4.9,0,73.27,3.5,0.5
2012,1,1,5,30,4.1000000000000005,0,78.45,3.1,0.7000000000000001
2012,1,1,6,30,3.6,0,81.39,3,0.7000000000000001
2012,1,1,7,30,4.4,0,76.33,3.5,0.6000000000000001
2012,1,1,8,30,6.9,166,64.4,4.2,0.6000000000000001
2012,1,1,9,30,9.8,353,51.52,4.800000000000001,0.30000000000000004
2012,1,1,10,30,11.9,507,42.32,5,-0.5
2012,1,1,11,30,13.3,607,38.52,4.7,-0.5
2012,1,1,12,30,14.3,643,36,4.6000000000000005,-0.6000000000000001
2012,1,1,13,30,14.700000000000001,612,34.57,4.6000000000000005,-0.8
2012,1,1,14,30,14.600000000000001,516,34.03,4.6000000000000005,-1.1
2012,1,1,15,30,13.600000000000001,366,35.74,3.9000000000000004,-1.3
2012,1,1,16,30,10.700000000000001,179,46.74,2.7,-0.2
2012,1,1,17,30,7.800000000000001,0,63.29,2.1,1.3
2012,1,1,18,30,6.7,0,66.68,2.3000000000000003,0.9
2012,1,1,19,30,6,0,68.55,2.4000000000000004,0.6000000000000001
2012,1,1,20,30,5.300000000000001,0,70.98,2.4000000000000004,0.5
2012,1,1,21,30,4.800000000000001,0,72.23,2.6,0.2
2012,1,1,22,30,4.3,0,73.29,2.7,-0.1
2012,1,1,23,30,3.7,0,74.96000000000001,2.9000000000000004,-0.30000000000000004
2012,1,2,0,30,3.1,0,76.68,3,-0.6000000000000001
2012,1,2,1,30,2.5,0,78.23,2.9000000000000004,-0.9
2012,1,2,2,30,1.8,0,80.25,2.8000000000000003,-1.2000000000000002
2012,1,2,3,30,1.3,0,81.11,2.6,-1.6
2012,1,2,4,30,1,0,80.9,2.6,-1.9000000000000001
2012,1,2,5,30,0.7000000000000001,0,80.81,2.7,-2.2
2012,1,2,6,30,0.4,0,81.21000000000001,2.6,-2.4000000000000004
2012,1,2,7,30,1.3,0,75.53,3.1,-2.6
2012,1,2,8,30,3.8000000000000003,162,64.27,3.5,-2.3000000000000003
2012,1,2,9,30,7.1000000000000005,349,53.15,4,-1.8
2012,1,2,10,30,9.8,503,37.550000000000004,4.5,-4
2012,1,2,11,30,11.100000000000001,608,34.21,4.3,-4.1000000000000005
2012,1,2,12,30,12,645,32.67,4.1000000000000005,-3.9000000000000004
2012,1,2,13,30,12.5,614,31.62,3.8000000000000003,-3.9000000000000004
2012,1,2,14,30,12.5,519,31.77,3.7,-3.9000000000000004
2012,1,2,15,30,11.600000000000001,366,33.75,3.1,-3.8000000000000003
2012,1,2,16,30,8.5,179,47.92,2,-1.9000000000000001
2012,1,2,17,30,5.5,0,67.27,1.5,-0.1
2012,1,2,18,30,4.4,0,69.02,1.4000000000000001,-0.8
2012,1,2,19,30,4,0,68.66,1.3,-1.2000000000000002
2012,1,2,20,30,3.9000000000000004,0,66.11,1.3,-1.9000000000000001
2012,1,2,21,30,4,0,62.18,1.2000000000000002,-2.6
2012,1,2,22,30,4.1000000000000005,0,58.49,1.1,-3.3000000000000003
2012,1,2,23,30,4.3,0,54.51,0.8,-4.1000000000000005
2012,1,3,0,30,4,0,53.32,0.6000000000000001,-4.6000000000000005
2012,1,3,1,30,3.1,0,55.93,0.7000000000000001,-4.9
2012,1,3,2,30,2.2,0,59.68,0.8,-4.800000000000001
2012,1,3,3,30,1.5,0,62.61,0.9,-4.9
2012,1,3,4,30,0.9,0,65.15,1,-4.9
2012,1,3,5,30,0.30000000000000004,0,67.94,1,-4.9
