Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,702800,-,-,-,32.77,-96.78,-6,148,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,Dew Point,Relative Humidity,Wind Speed
2014,1,1,0,30,1,0,0.6000000000000001,97.43,2.7
2014,1,1,1,30,0.6000000000000001,0,0.6000000000000001,100,2.7
2014,1,1,2,30,0.4,0,0.4,100,2.8000000000000003
2014,1,1,3,30,0.5,0,0.5,100,3
2014,1,1,4,30,0.8,0,0.8,100,3.4000000000000004
2014,1,1,5,30,1.1,0,0.8,97.88,3.8000000000000003
2014,1,1,6,30,1.2000000000000002,0,0.7000000000000001,96.5,4
2014,1,1,7,30,1.8,0,0.7000000000000001,92.71000000000001,4.3
2014,1,1,8,30,3.6,143,1,83.23,4.800000000000001
2014,1,1,9,30,6.800000000000001,322,1.6,69.59,5.300000000000001
2014,1,1,10,30,10.4,467,2.5,58.230000000000004,5.9
2014,1,1,11,30,13.5,563,4.2,53.35,6.4
2014,1,1,12,30,15.9,596,6.300000000000001,52.99,6.800000000000001
2014,1,1,13,30,17.5,565,7.9,53.32,6.7
2014,1,1,14,30,18.1,472,8.700000000000001,54.38,6.1000000000000005
2014,1,1,15,30,17.5,327,9.5,59.21,5
2014,1,1,16,30,15.200000000000001,149,10.100000000000001,71.36,3.7
2014,1,1,17,30,13,0,9.700000000000001,80.46000000000001,3.2
2014,1,1,18,30,11.8,0,9.200000000000001,83.91,3.8000000000000003
2014,1,1,19,30,10,0,7.6000000000000005,85.22,5.5
2014,1,1,20,30,7.4,0,4.7,82.82000000000001,6.7
2014,1,1,21,30,4.6000000000000005,0,1.7000000000000002,81.61,7
2014,1,1,22,30,2,0,-1.4000000000000001,78.47,7.4
2014,1,1,23,30,-0.2,0,-4.6000000000000005,72.24,7.4
2014,1,2,0,30,-1.7000000000000002,0,-6.6000000000000005,69.38,7.300000000000001
2014,1,2,1,30,-2.6,0,-7.300000000000001,70.12,7.1000000000000005
2014,1,2,2,30,-3.4000000000000004,0,-7.800000000000001,71.34,7.2
2014,1,2,3,30,-4.1000000000000005,0,-8.5,71.69,7
2014,1,2,4,30,-4.800000000000001,0,-8.9,73.08,6.5
2014,1,2,5,30,-5.2,0,-9.1,73.95,5.9
2014,1,2,6,30,-5.5,0,-9.3,74.79,5.300000000000001
2014,1,2,7,30,-5,0,-9.4,71.34,5.2
2014,1,2,8,30,-3.5,156,-9.5,63.02,5.4
2014,1,2,9,30,-1.6,340,-9.5,55.02,5.300000000000001
2014,1,2,10,30,0.4,491,-9,49.45,4.9
2014,1,2,11,30,2.3000000000000003,589,-8.3,45.37,4.4
2014,1,2,12,30,3.7,625,-7.7,42.99,4.2
2014,1,2,13,30,4.7,593,-7.300000000000001,41.59,4
2014,1,2,14,30,5.1000000000000005,494,-6.9,41.65,3.8000000000000003
2014,1,2,15,30,4.6000000000000005,345,-6.5,44.4,3
